date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-11-07_06.00.00	0.04339343	15.65969	0.848237053878601			283.27720708649696	14.723553173893832	-2.8595376033070465
2021-11-07_07.00.00	0.0430064	15.54817	0.841461393484309			281.1633541759714	13.551467611794559	-2.762637049261457
2021-11-07_08.00.00	0.04250087	15.41454	0.8278281030304844			278.8627735596248	13.552623590120337	-2.818987651479631
2021-11-07_09.00.00	0.04154933	15.16508	0.8057405690011068			277.8040792020247	13.192686244076663	-2.6721047096691564
2021-11-07_10.00.00	0.04216348	15.31828	0.8199497412271516			277.52769093345245	13.40641125628184	-2.852456480162914
2021-11-07_11.00.00	0.04246023	15.39626	0.82485535644838			278.96326485037963	12.969488755455503	-2.847810050047201
2021-11-07_12.00.00	0.04263293	15.44591	0.8263236305980195			278.8728226887003	13.844629642950203	-2.8249858119822306
2021-11-07_13.00.00	0.04307039	15.56534	0.8373775690310228			277.2479901741849	13.245023573001298	-2.118131484316109
2021-11-07_14.00.00	0.04406599	15.82378	0.8643249468992132			278.08813458389164	12.941998730276762	-1.4037784601615613
2021-11-07_15.00.00	0.04510218	16.09491	0.8935815358841654			279.3446479082924	13.211073086256308	-0.9035781055290499
2021-11-07_16.00.00	0.04758114	16.74213	0.9553693122326262			279.1205151109126	13.898462913857026	-0.6429575861835133
2021-11-07_17.00.00	0.05007517	17.38133	1.019187782331648			278.9775197260682	14.853482743257919	-0.4185442686467127
2021-11-07_18.00.00	0.0543544	18.47352	1.1249310437670146			278.79198302813757	16.0768848796101	-0.27971857641466613
2021-11-07_19.00.00	0.05638581	18.98639	1.173969844736291			280.3670909632276	15.785194235102688	-0.21585142852512718
2021-11-07_20.00.00	0.06327678	20.69112	1.3425144344392257			280.5766339139497	16.304145026783296	-0.4746808742328881
2021-11-07_21.00.00	0.06853149	21.96525	1.4684117629461213			280.0733214232544	17.6291707185575	-0.7950795489637699
2021-11-07_22.00.00	0.06964957	22.21599	1.4904059592544947			281.4910674408218	18.101889678775727	-1.252607250054382
2021-11-07_23.00.00	0.06297651	20.57457	1.315351661830257			282.8987643293137	19.637702927378296	-2.4618102433553304
2021-11-08_00.00.00	0.05399691	18.34957	1.090470278517366			281.38782194432036	22.52752925314882	-3.6945798733490847
2021-11-08_01.00.00	0.0472575	16.65522	0.9273057707840966			281.32834598779215	24.57096287823876	-4.302290089202529
2021-11-08_02.00.00	0.04389082	15.78837	0.8531019834265713			281.98820157808547	19.046670346878717	-3.275612230538229
2021-11-08_03.00.00	0.04303478	15.55356	0.8361046459448948			281.3030370701206	16.588707249305553	-2.85450455132019
2021-11-08_04.00.00	0.0418691	15.24029	0.8103724534059293			279.40438439779666	14.841053555084024	-2.665323761463185
2021-11-08_05.00.00	0.04097453	15.00685	0.7885269393005654			278.93300580616346	14.14558449926624	-2.689095034245554
2021-11-08_06.00.00	0.03985758	14.71733	0.7600137613306609			279.62907548012504	13.609925967980242	-2.75262396497061
2021-11-08_07.00.00	0.03907765	14.51297	0.7393882191043168			280.40911121036174	13.40848272885148	-2.826074639337264
2021-11-08_08.00.00	0.03816838	14.26944	0.7166183025697789			280.27702099151406	12.432974687238447	-2.796327713314156
2021-11-08_09.00.00	0.03726111	14.03025	0.6928189786699375			279.0251228226887	11.739845185103622	-2.802865119271246
2021-11-08_10.00.00	0.03560325	13.59677	0.6510288090465791			279.2319860056573	10.465694310446874	-2.6433756811062494
2021-11-08_11.00.00	0.03400206	13.17718	0.6096556675741167			282.3763212743784	9.29530091343425	-2.430504023055562
2021-11-08_12.00.00	0.03329758	12.99589	0.5901196637448769			283.8293136817031	9.32634789418388	-2.1997806377993356
2021-11-08_13.00.00	0.03262083	12.81919	0.5740799353815778			284.41212594908444	8.449237062518282	-1.471386625185346
2021-11-08_14.00.00	0.03375981	13.12743	0.6035423460077183			284.84930028286436	8.372743186236503	-0.8660126912029114
2021-11-08_15.00.00	0.03566192	13.63926	0.6508364495766894			284.2074586869138	8.736196011975865	-0.47273070051795685
2021-11-08_16.00.00	0.03758651	14.15114	0.7001884703981811			284.5053967545035	9.222712133148862	-0.23873201050599846
2021-11-08_17.00.00	0.03869275	14.4428	0.7294474526580309			283.7743784427572	9.292885479525387	-0.034952151073866844
2021-11-08_18.00.00	0.04097384	15.02999	0.7905435725611033			283.8510495757034	9.08958021587933	0.08283607420202088
2021-11-08_19.00.00	0.05174185	17.77811	1.066759804948096			284.06204406729194	10.669338086885496	0.14514622105190256
2021-11-08_20.00.00	0.06338323	20.68855	1.3560890896580609			283.7202620217359	14.330562876699846	-0.24159556834251816
2021-11-08_21.00.00	0.07207352	22.81737	1.566930026625183			283.4830281375614	16.932253084695148	-0.570978628438354
2021-11-08_22.00.00	0.08748713	26.55605	1.9194887366500135			282.1152672323954	24.712432728665863	-1.4726917464620328
2021-11-08_23.00.00	0.08034783	24.85313	1.7242070781105094			281.9663540270954	29.521257737025515	-2.836796360615324
2021-11-09_00.00.00	0.06819955	21.90718	1.4313889969186586			280.64061336906354	34.183286997061934	-3.9472657100268407
2021-11-09_01.00.00	0.06276862	20.56293	1.302855476112125			279.1897424445437	36.90820027134084	-4.428689024142045
2021-11-09_02.00.00	0.06162567	20.2635	1.281260657552278			279.5864969480423	34.4684715501875	-4.403747500335726
2021-11-09_03.00.00	0.05574509	18.78644	1.1448912555718431			279.8244379931517	26.537124736686824	-4.071705329311328
2021-11-09_04.00.00	0.05104981	17.57761	1.0349187782331648			278.5314500521066	21.794578551382063	-3.981722750704307
2021-11-09_05.00.00	0.04791001	16.75721	0.9644718341460495			278.3967545034986	18.90918084613911	-3.693282987426471
2021-11-09_06.00.00	0.04811244	16.7591	0.9798130253986298		0.0022380001196637446	278.11705374423104	17.301472413084838	-3.715806999430015
2021-11-09_07.00.00	0.04631066	16.30122	0.9298872169204534			278.6158999553372	15.526996785058056	-3.6124163395695064
2021-11-09_08.00.00	0.04626663	16.26892	0.9336497442187452		0.0011081999581176892	277.86102426678576	14.564400423163491	-3.5938544562168317
2021-11-09_09.00.00	0.0466716	16.36082	0.9486421156550094		0.00010863999162353785	278.1814053893107	13.09367386927098	-3.3815987921475994
2021-11-09_10.00.00	0.05143618	17.53768	1.0750599814521193		0.0023059999401681274	278.1568408515706	12.030898445882812	-3.216218898764282
2021-11-09_11.00.00	0.0554132	18.54282	1.1727379064827832		0.000558800071798247	278.8597216019056	11.416123790145077	-2.990662030391661
2021-11-09_12.00.00	0.0594884	19.56105	1.2724722529691566		0.0030023603673676965	278.7087241327974	12.619737424118522	-2.825461596885077
