date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-11-07_00.00.00	0.1909905	51.23661	3.9131719867173245			274.7954816138157	34.944179769667706	7.5227941137944185
2021-11-07_01.00.00	0.1896795	51.03387	3.8639303557004814			274.2235745124311	33.567867859624634	7.575711317322714
2021-11-07_02.00.00	0.1918091	51.62174	3.881027313249768			272.63677981241625	32.449101045865255	7.653922062486117
2021-11-07_03.00.00	0.1975507	53.01614	3.959054058096748			271.9273485186839	33.17539178623466	7.649166122940528
2021-11-07_04.00.00	0.2014347	53.93539	4.0101145780357195			271.96077117760905	34.202008544056994	7.592253827396178
2021-11-07_05.00.00	0.2009499	53.83814	3.992637688096449			273.0475658776239	34.97636491550448	7.459595350691984
2021-11-07_06.00.00	0.1886076	51.06551	3.7596822927573514			274.1529328569302	35.597958656400095	7.288722923977446
2021-11-07_07.00.00	0.1707259	47.02832	3.3968947258204447			275.9997022480274	35.29261147205791	7.255319059369413
2021-11-07_08.00.00	0.1621646	45.06775	3.212439046279953			275.1879187137115	34.15994841240204	7.33961314789002
2021-11-07_09.00.00	0.1536959	43.11332	3.038510784695007			274.45131755247877	33.8462856860842	7.297638179818534
2021-11-07_10.00.00	0.1473773	41.6074	2.913176773267119			275.9685127288968	33.89672254765314	7.138557595878808
2021-11-07_11.00.00	0.1377548	39.34407	2.7027112812995484			276.24813905017123	34.29392540705663	6.937344406849149
2021-11-07_12.00.00	0.1276789	36.93709	2.493095401920603			275.4893181479827	33.84139585647958	6.799501578503055
2021-11-07_13.00.00	0.1376155	39.12638	2.7490564513716453			275.1786139645675	33.87555110396782	6.625253998640346
2021-11-07_14.00.00	0.1540826	42.72303	3.162572172196129			276.00718326633915	33.132958524465806	6.540048438301994
2021-11-07_15.00.00	0.1688963	45.85069	3.5443443922577558			277.4872338841745	31.319516819725518	6.583838646847596
2021-11-07_16.00.00	0.1825414	48.6209	3.9162234122116852		3.3119992820175306e-06	278.9171505136222	29.454551723940252	6.677716408419087
2021-11-07_17.00.00	0.1860176	49.22291	4.036500433781075		0.0012080198641816495	279.96292987941047	25.947330951349805	6.953304505156609
2021-11-07_18.00.00	0.1906041	50.17543	4.150453226433721		0.004209659855805187	279.95142920946853	25.945290450971562	6.91552597485196
2021-11-07_19.00.00	0.1925475	50.6152	4.193586023274598		0.0036482095312172793	279.4460696739616	28.513262008154225	6.780557621874152
2021-11-07_20.00.00	0.2081308	54.0405	4.514275884763814		0.005521835641846411	280.2996873604288	34.600161867963635	6.40600491820345
2021-11-07_21.00.00	0.2158298	55.89604	4.627576510006881		0.0008312681365363328	279.1681926455263	37.318199293176214	6.4285127007862
2021-11-07_22.00.00	0.2241673	57.6909	4.796682322673288		0.006414646842372932	279.7459059103767	37.222424570555496	6.632715249245052
2021-11-07_23.00.00	0.2173593	56.41801	4.6007030245011515		0.00024076001435964937	280.31297454220635	37.450112451236365	6.635793446092464
2021-11-08_00.00.00	0.2010254	53.12218	4.2005354952583245			281.64831770135476	35.77412804914241	6.700583647711483
2021-11-08_01.00.00	0.1999409	52.86513	4.171400364974422		0.0003018030334759326	283.160674408218	34.38823426432317	6.748170477702672
2021-11-08_02.00.00	0.2006127	52.97433	4.1969575492865046		0.0007221799742722948	280.83642251004915	34.026771530576006	6.745059028540936
2021-11-08_03.00.00	0.2017957	53.09665	4.258051874233404		0.001351579860591737	278.040717582254	32.59332978908737	6.862766811843983
2021-11-08_04.00.00	0.1948615	51.63714	4.098979866574925		0.0026832500673108564	276.96199940449605	31.055820870691957	7.05180690681334
2021-11-08_05.00.00	0.2029428	53.4392	4.238307356328716		0.0021080001196637447	276.07432633616196	33.59034634726227	6.858831206146931
2021-11-08_06.00.00	0.1937495	51.55954	4.018024351572082			275.7274080690785	34.872507798438235	6.7363226352687775
2021-11-08_07.00.00	0.1940406	51.58113	4.028117988452448			275.2374199791574	34.268146400794066	6.598638870410241
2021-11-08_08.00.00	0.1879865	50.25606	3.8974960361384507		2.5660998593950997e-05	270.4957198153938	30.85398347644533	6.521645230035233
2021-11-08_09.00.00	0.1812801	48.75557	3.7553863643162715		0.001127376073234212	268.7660413875242	27.662580938680108	6.424233743472826
2021-11-08_10.00.00	0.1776235	47.88644	3.6947856523169893		0.002648000119663745	268.869956825964	24.92194233034936	6.483464420634391
2021-11-08_11.00.00	0.1780023	47.91584	3.7124270799054657		0.00519791485924552	266.1477966354027	23.680268291773515	6.411033954815252
2021-11-08_12.00.00	0.1754903	47.31443	3.6610464594489485		0.02074940916025967	265.8022554711925	22.281136999056095	6.415496782313426
2021-11-08_13.00.00	0.1773044	47.62858	3.717363209381637		0.027582101295360036	261.59691826708354	20.437997823187352	6.445101527274005
2021-11-08_14.00.00	0.177513	47.63039	3.710542375923654		0.0657420049660454	254.66536400178651	18.74022716174035	6.535020082363019
2021-11-08_15.00.00	0.1804883	48.2255	3.8062075567654885		0.04720190265354354	257.21743337799614	18.134490500681547	6.53691065242873
2021-11-08_16.00.00	0.1876898	49.75762	3.9771143087922938		0.030736291022227538	255.69506476105406	18.19895384823707	6.443995433600435
2021-11-08_17.00.00	0.1983974	52.04056	4.212744188829389		0.020468698955933826	255.97245794253388	18.628194118314973	6.324607229919138
2021-11-08_18.00.00	0.2037559	53.14927	4.311454811978341		0.022460059233553712	258.1088283459878	20.342510231765086	5.941058098128963
