date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-12-06_18.00.00	0.1213405	35.09844	2.397180123851976			260.89630787553966	13.683079768494151	5.21227278940728
2021-12-06_19.00.00	0.1175543	34.2274	2.310813713465163			261.6936504391842	13.865953219322897	5.003773507160929
2021-12-06_20.00.00	0.1184549	34.40175	2.329586262602088		9.293998863194423e-06	261.02702099151406	14.236990743957577	4.5455083594716825
2021-12-06_21.00.00	0.1218818	35.16507	2.412813593801418		1.647799982050438e-05	264.1774229566771	17.74375472932612	3.9719166817777136
2021-12-06_22.00.00	0.1267964	36.32783	2.5348218505998146			266.6698302813756	22.081598747621555	3.7789284367041205
2021-12-06_23.00.00	0.1353503	38.34923	2.717137942381907			264.88305791275866	28.84143534881779	3.170924249715938
2021-12-07_00.00.00	0.1420095	39.89201	2.871708798276842			265.10655798719665	27.043690927437247	3.480200636905124
2021-12-07_01.00.00	0.1513616	42.04627	3.0441619050468183			266.008597588209	32.787077589788744	2.787823278117912
2021-12-07_02.00.00	0.1578416	43.49249	3.2190833757142427			265.2341074884621	27.468506523475845	3.4302854114502566
2021-12-07_03.00.00	0.1657736	45.25895	3.4034373410715886		8.262000777814341e-05	265.67980497245793	27.14492494391873	3.4699271654471318
2021-12-07_04.00.00	0.1743572	47.10644	3.60015556286834		0.002265436024770395	269.2193315468215	27.55471092104311	3.4401237676451615
2021-12-07_05.00.00	0.1761682	47.46971	3.6424596882759444		0.006759529721482633	268.98514962036626	27.539128836787974	3.359712064404505
2021-12-07_06.00.00	0.1810657	48.42218	3.7595476710443654		0.04121799742722948	271.70626767902337	27.127698311506446	3.193381838182688
2021-12-07_07.00.00	0.1777346	47.67755	3.699967092470159		0.021115200287192985	272.7590814351645	24.122128423429636	3.258534896604715
2021-12-07_08.00.00	0.1766077	47.3722	3.69715200287193		0.006503296736171358	268.08165847848744	22.88251334908693	3.1854544102500313
2021-12-07_09.00.00	0.1770358	47.41186	3.7357226194393753		0.0048134202889879435	266.0529254131309	21.90191130919537	3.1798927509853456
2021-12-07_10.00.00	0.1748276	46.91209	3.6832141681873933		0.004190498698656774	264.0428018460622	22.850967730344717	2.9872175654874695
2021-12-07_11.00.00	0.1634619	44.44634	3.3946570137912464		0.006333990486732282	260.13893851421767	27.427893537547714	2.1193654304777283
2021-12-07_12.00.00	0.1706481	46.02488	3.5568522451910134		0.006865100068806653	261.6229715646866	28.342347378351693	1.9856456797524515
2021-12-07_13.00.00	0.1769574	47.36344	3.7016393933048133		0.00859579980255482	265.64787107339583	27.70038657297067	2.046819603907295
2021-12-07_14.00.00	0.1674041	45.26947	3.4638525742663115		0.013744410207317438	267.2656319785619	27.378216496404406	1.7947595090315644
2021-12-07_15.00.00	0.1606814	43.73463	3.334768301073982		0.013558901486822029	270.34691826708354	25.359907082751366	2.2165063956529707
2021-12-07_16.00.00	0.1491134	41.11173	3.080165734286654		0.0037612798037514584	272.1373380973649	24.669460304175708	2.1864034298368438
2021-12-07_17.00.00	0.1487249	40.89329	3.1046459448948456		0.003421389894396745	274.7847997617984	24.412351210737253	2.0343256403370447
2021-12-07_18.00.00	0.1323017	37.19159	2.7370811021030903		0.00041911987315643043	275.40375167485485	22.94739547900258	2.4710768578330544
2021-12-07_19.00.00	0.1276322	36.13361	2.606453166601849		0.0010584000957309958	275.77873306535656	24.245851080378955	2.1314566254611123
2021-12-07_20.00.00	0.1258955	35.78921	2.5243019116283243		0.0035519011577467316	277.04045704927796	30.25503584069326	1.4125496424761081
2021-12-07_21.00.00	0.1294212	36.69462	2.546223113052323		0.0044693989888413554	277.61106148578233	36.1028225622796	0.9460190878783123
2021-12-07_22.00.00	0.1311793	37.16798	2.5403353576450174		0.0011639599724773387	277.39868989132054	38.7421880323636	0.7119105993000971
2021-12-07_23.00.00	0.1372211	38.61653	2.6096526759804948		6.581999581176893e-05	278.24356111359236	42.2494859330816	0.3893311488182576
2021-12-08_00.00.00	0.1500271	41.51731	2.823794238190684		0.001571199928201753	275.3904272740807	45.48688226628167	0.06950463594063194
2021-12-08_01.00.00	0.1439677	40.1774	2.6939055254734194		0.00023340000598318723	273.69953104064314	46.25542222151437	-0.08310137847735177
2021-12-08_02.00.00	0.1297551	36.94519	2.403529182995782		3.5920004786549796e-06	273.04589102277805	47.176868216676304	-0.27751613015732346
2021-12-08_03.00.00	0.1130782	33.04407	2.0934989679002003		7.440000598318725e-05	275.7147163912461	43.92215327674293	-0.10736596105925855
2021-12-08_04.00.00	0.1009469	30.14989	1.866347563346995		0.0001930799952134502	280.5447000148876	37.48821805152017	0.516111162050322
2021-12-08_05.00.00	0.09790787	29.42344	1.7927753014030572		0.0005454001256469321	283.3882685722793	37.059451830950586	0.6008648800760739
2021-12-08_06.00.00	0.0867028	26.72884	1.5511221467675829		8.032001076973703e-05	281.08422658925116	32.86614948858848	0.976569391536259
2021-12-08_07.00.00	0.07837478	24.69047	1.3710012863852574			278.60760011910077	29.409835853522004	1.1608869323408726
2021-12-08_08.00.00	0.07250357	23.24831	1.245602357375774		2.44e-05	273.7788075033497	26.970555357422732	1.0700564831525412
2021-12-08_09.00.00	0.07362503	23.48639	1.2784171478146409		1.7071998683698805e-06	274.3347476552032	25.54264711357324	0.8787163566830714
2021-12-08_10.00.00	0.0776645	24.46632	1.375608340563018		4.770000299159362e-06	276.38287181777577	24.32138388311502	0.7771616840901174
2021-12-08_11.00.00	0.08661939	26.63465	1.577500822688246		0.0009454536751727644	275.0870552329909	25.24090522961361	0.4234860912720819
2021-12-08_12.00.00	0.09350917	28.27538	1.735768390821791		0.0014514000658150596	273.17511537888936	24.3452519402528	0.5168136622247061
2021-12-08_13.00.00	0.1036961	30.61947	1.9625153319173123		0.003214374607353337	274.3125279142474	26.49300460149857	0.038730346678221395
2021-12-08_14.00.00	0.1154625	33.29965	2.2677703652735812		0.0012602198821312113	275.9619621854995	22.618073922551197	0.6991416154357353
2021-12-08_15.00.00	0.1200969	34.38657	2.3693974930445445		0.0023019101325275973	278.5330876879559	20.786115182640664	1.0520933002972015
2021-12-08_16.00.00	0.1290135	36.37516	2.5833999461513146		0.004430481347413767	281.9166294476701	22.87283135573505	0.5054325774834183
2021-12-08_17.00.00	0.138723	38.53065	2.81415532354085		0.007142600293176175	284.36426231948786	24.18016013819666	0.3397505689389959
2021-12-08_18.00.00	0.1435742	39.53177	2.9432578454542737		0.023099386723307504	287.2380899210957	24.047188438440102	0.5412481044848505
2021-12-08_19.00.00	0.1460716	40.08208	3.0147036826517484		0.006819795374996261	287.84073991365193	24.516265435166748	0.8027076767112362
2021-12-08_20.00.00	0.1433516	39.49364	2.934513417297394		0.00488990037993239	287.359423849933	28.408034063269675	0.4350752696440736
2021-12-08_21.00.00	0.1474238	40.45909	2.987107428126963		0.0021881598707631554	285.3243635551585	37.30631406428781	-0.3320993152727283
2021-12-08_22.00.00	0.1535274	41.75591	3.1395488676818144			283.6570269465535	42.824570748800625	-0.6655938987835839
2021-12-08_23.00.00	0.167625	44.77639	3.4755287641726746		0.0001230749992521016	282.1534167038857	46.657334220409425	-0.9665586701152051
2021-12-09_00.00.00	0.1814968	47.82624	3.755733389176414			282.24393330355815	49.99549056457475	-1.410787140719151
2021-12-09_01.00.00	0.1911914	50.0088	3.9196547700960296			280.7550617835343	50.92421013881419	-1.6083922896409604
2021-12-09_02.00.00	0.1781139	47.30068	3.6123133993478325			284.0203960101236	42.26115423485561	-1.1242101548085088
2021-12-09_03.00.00	0.1703586	45.63163	3.4366589882430367			286.94685127288966	25.376023814226087	0.0829832845087708
2021-12-09_04.00.00	0.1957241	51.35091	3.946513297633649			289.3534315914843	22.630009614253368	0.5490848524722196
2021-12-09_05.00.00	0.2148766	55.54473	4.298273850480151			286.61541610838174	28.954183447874478	0.14744983510138354
2021-12-09_06.00.00	0.2196805	56.68483	4.363918389325994			287.77672323954147	34.97018427613037	-0.029003063768868742
2021-12-09_07.00.00	0.218694	56.51601	4.329871062314895			287.3901295221081	36.14307370290615	0.6207180705456494
2021-12-09_08.00.00	0.209621	54.58953	4.110093636880366			283.7481762691678	38.86219871285945	-0.039231315986626214
2021-12-09_09.00.00	0.208435	54.30222	4.071343524695605			278.7877400625279	38.44340136757333	-0.1409859688902202
2021-12-09_10.00.00	0.2101764	54.63769	4.085251443443922			281.1408739020396	38.23147956070463	-0.2766755492070274
2021-12-09_11.00.00	0.2026694	53.06208	3.8864361145182036			284.5833705523299	40.59955903523834	-0.5403360670845814
2021-12-09_12.00.00	0.1944823	51.25441	3.763945313668591			286.60856781301175	44.2745256278683	-0.7383431012974029
2021-12-09_13.00.00	0.1948063	51.2134	3.8358542495587398			285.1114708947447	47.53804244638939	-1.341513882989716
2021-12-09_14.00.00	0.1960794	51.44936	3.909707721303138			282.6041759714158	50.2010185284447	-1.647545215157777
2021-12-09_15.00.00	0.2029641	52.87932	4.134884973225237			281.8443129373232	49.104033684815406	-1.7728797867733306
2021-12-09_16.00.00	0.2142037	55.26991	4.422445926945284			282.0496873604288	51.75398389698324	-1.8107687854327423
2021-12-09_17.00.00	0.228115	58.24519	4.731247195380979			281.68196367425935	59.26946768734035	-1.8668326450870723
2021-12-09_18.00.00	0.238662	60.44265	4.963723935740569			281.8886407622451	66.09823781182845	-2.073570789379346
2021-12-09_19.00.00	0.2422352	61.19644	5.020845424357555			280.650141432187	73.46547024921725	-2.3941094408252184
2021-12-09_20.00.00	0.2601979	64.8901	5.25936817542705	0.001262646962036677	4.004998952942232e-05	279.47260681852015	82.78806069054356	-2.7161050883426014
2021-12-09_21.00.00	0.2862409	70.10647	5.5889191372244	0.004862999970084063	0.00011048999311933466	278.6435164507965	86.47655796352828	-2.411148326514251
2021-12-09_22.00.00	0.2907631	70.99858	5.6914470338349235	0.004222000179495617	0.00016893998863194422	277.21639124609203	87.75029937701245	-2.2587935446873075
2021-12-09_23.00.00	0.2981813	72.39582	5.72189547371885	0.00737700062823466	0.00024097998623866934	276.12781003424146	87.80605478466734	-2.2731016210410075
2021-12-10_00.00.00	0.3014476	72.92912	5.657576210847518	0.010908998713614742	0.0002735599964100876	275.8176641357749	88.2012398059557	-2.4197655718517126
2021-12-10_01.00.00	0.3227423	76.9343	5.787674634277679	0.016784000957309957	0.0003010901367158285	275.32823433080245	90.71326017705202	-2.6491561544746105
