date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-12-07_06.00.00	0.4820731	105.162	10.549819008585873	5.244000358991234e-05	0.12402270619559039	247.18058657138604	61.05623491420678	3.343187687769557
2021-12-07_07.00.00	0.4968366	107.4436	10.738286415173363	0.0004542100697041314	0.2639973673976127	248.92466875093046	62.948721048411485	3.1825444581530746
2021-12-07_08.00.00	0.4659218	102.4235	10.179396894725821		0.11207814042540461	250.24471490248624	62.972120924197434	2.8358626144365644
2021-12-07_09.00.00	0.433447	96.91669	9.5868040805337	2.161999880336255e-06	0.055622221557423634	252.0883206788745	59.69485114802586	2.7739277425019964
2021-12-07_10.00.00	0.4095111	92.65928	9.200344033266521		0.03996733179764861	254.43546225993748	51.43444689089426	3.1231741427229167
2021-12-07_11.00.00	0.3956935	90.12563	8.840021539474078		0.17035513207885838	253.3210510644633	46.47227747908881	3.1953768620815026
2021-12-07_12.00.00	0.4201848	94.43592	9.27307864899632		0.2601074281269632	251.48496352538336	47.53836376971012	3.1102351229970964
2021-12-07_13.00.00	0.4417081	98.23022	9.735573039758279		0.16591464983396653	249.80032008337056	56.1741187423572	3.060732542125777
2021-12-07_14.00.00	0.4099884	92.70229	9.196045113231818		0.05324812277500224	250.5470075926753	48.42792734580072	3.233649193644794
2021-12-07_15.00.00	0.4212652	94.67721	9.327193586023276		0.15789116582403445	249.11031710585084	46.051057247949586	3.7580975165344057
2021-12-07_16.00.00	0.4275663	95.7665	9.420112483920184		0.1795482693630897	251.2398392139348	47.024809627455724	3.764639153683504
2021-12-07_17.00.00	0.4137159	93.40527	9.16462739701439		0.10652113560893887	252.5420946851273	47.28568810475508	3.6506822575563547
2021-12-07_18.00.00	0.4179389	94.22405	9.226125587100249		0.1387058665150926	252.89355366979305	50.14854839850731	3.7930505663210283
2021-12-07_19.00.00	0.4184985	94.41645	9.22247285128788		0.11130618960720376	255.05422807801102	51.23846785040626	3.924669589556572
2021-12-07_20.00.00	0.4117544	93.32354	9.160023334430251		0.027852810602207796	256.0271326485038	50.45265630388608	4.099046985695281
2021-12-07_21.00.00	0.4109935	93.21147	9.178310946241062		0.01381322882699614	256.5411642102129	51.19140674414328	4.008699900533088
2021-12-07_22.00.00	0.4062358	92.38916	9.07561552038771		0.030113082238908667	255.06732916480573	51.71509550780356	3.851863252680971
2021-12-07_23.00.00	0.396629	90.68815	8.857872378616088		0.027599802554820953	255.55981092749738	53.28142617989552	3.6821454085537653
2021-12-08_00.00.00	0.3853319	88.70598	8.640374547521464	8.77300086756215e-05	0.004911691147874472	254.42883727854698	54.14129996297077	3.585389939629067
2021-12-08_01.00.00	0.3838614	88.45468	8.601193645855147	0.0004571998683698806	0.0016305301103898045	252.65486824475212	55.89382177422687	3.607396653644571
2021-12-08_02.00.00	0.3815065	88.01406	8.582553025996948	0.00029059999401681276	0.00020469198552068685	251.33850677385738	56.70928274395111	3.509970443905786
2021-12-08_03.00.00	0.3782891	87.36018	8.530750590839741	1.7780001196637447e-05	0.0004021339037305172	251.02114039005508	56.60311902411248	3.489523967928335
2021-12-08_04.00.00	0.360971	84.25575	8.145558979268255		0.00033072905136566247	252.1422510049129	53.84908497769338	3.3543697349306285
